order_id,order_purchase_timestamp,product_id,price,product_category_name,product_category_name_english
e481f51cbdc54678b7cc49136f2d6af7,2017-10-02 10:56:33,87285b34884572647811a353c7ac498a,29.99,utilidades_domesticas,housewares
53cdb2fc8bc7dce0b6741e2150273451,2018-07-24 20:41:37,595fac2a385ac33a80bd5114aec74eb8,118.7,perfumaria,perfumery
47770eb9100c2d0c44946d9cf07ec65d,2018-08-08 08:38:49,aa4383b373c6aca5d8797843e5594415,159.9,automotivo,auto
949d5b44dbf5de918fe9c16f97b45f8a,2017-11-18 19:28:06,d0b61bfb1de832b15ba9d266ca96e5b0,45.0,pet_shop,pet_shop
ad21c59c0840e6cb83a9ceb5573f8159,2018-02-13 21:18:39,65266b2da20d04dbe00c5c2d3bb7859e,19.9,papelaria,stationery
a4591c265e18cb1dcee52889e2d8acc3,2017-07-09 21:57:05,060cb19345d90064d1015407193c233d,147.9,automotivo,auto
136cce7faa42fdb2cefd53fdc79a6098,2017-04-11 12:22:08,a1804276d9941ac0733cfd409f5206eb,49.9,,unknown
6514b8ad8028c9f2cc2374ded245783f,2017-05-16 13:10:30,4520766ec412348b8d4caa5e8a18c464,59.99,automotivo,auto
76c6e866289321a7c93b82b54852dc33,2017-01-23 18:29:09,ac1789e492dcd698c5c10b97a671243a,19.9,moveis_decoracao,furniture_decor
e69bfb5eb88e0ed6a785585b27e16dbf,2017-07-29 11:55:02,9a78fb9862b10749a117f7fc3c31f051,149.99,moveis_escritorio,office_furniture
e6ce16cb79ec1d90b1da9085a6118aeb,2017-05-16 19:41:10,08574b074924071f4e201e151b152b4e,99.0,ferramentas_jardim,garden_tools
e6ce16cb79ec1d90b1da9085a6118aeb,2017-05-16 19:41:10,08574b074924071f4e201e151b152b4e,99.0,ferramentas_jardim,garden_tools
34513ce0c4fab462a55830c0989c7edb,2017-07-13 19:58:11,f7e0fa615b386bc9a8b9eb52bc1fff76,98.0,informatica_acessorios,computers_accessories
82566a660a982b15fb86e904c8d32918,2018-06-07 10:06:19,72a97c271b2e429974398f46b93ae530,31.9,perfumaria,perfumery
